"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 20 06:11:12 UTC 2023","Thu Jul 20 06:11:12 UTC 2023","305","","Login","","","","Admin login",""
"failed","Thu Jul 20 06:11:13 UTC 2023","Thu Jul 20 06:11:13 UTC 2023","362","","Login","","","","addtask",""
"failed","Thu Jul 20 06:11:12 UTC 2023","Thu Jul 20 06:11:12 UTC 2023","304","","Login","","","","Employee login",""
"passed","Thu Jul 20 06:11:18 UTC 2023","Thu Jul 20 06:11:21 UTC 2023","2956","","VidhaiLogin","","","","Vidhai Login test",""
"skipped","Thu Jul 20 06:10:59 UTC 2023","Thu Jul 20 06:10:59 UTC 2023","0","","API Call","","","","Retrieve All Tasks",""
"failed","Thu Jul 20 06:11:12 UTC 2023","Thu Jul 20 06:11:13 UTC 2023","336","","Login","","","","Add Dropdown Check",""
"passed","Thu Jul 20 06:10:59 UTC 2023","Thu Jul 20 06:11:09 UTC 2023","10330","","API Call","","","","Add a new task",""
"skipped","Thu Jul 20 06:10:59 UTC 2023","Thu Jul 20 06:10:59 UTC 2023","3","","API Call","","","","Retrieve User jobs",""
